ID,mu,traps,p11
1,0,3,0
2,0.02,3,0.00796487
3,0.05,3,0.019677087
4,0.1,3,0.038594742
5,0.15,3,0.056796098
6,0.25,3,0.091206707
7,0.5,3,0.16716669
8,1,3,0.286448699
9,3,3,0.546345934
10,0,4,0
11,0.02,4,0.00796487
12,0.05,4,0.019677087
13,0.1,4,0.038594742
14,0.15,4,0.056796098
15,0.25,4,0.091206707
16,0.5,4,0.16716669
17,1,4,0.286448699
18,3,4,0.546345934
19,0,5,0
20,0.02,5,0.00796487
21,0.05,5,0.019677087
22,0.1,5,0.038594742
23,0.15,5,0.056796098
24,0.25,5,0.091206707
25,0.5,5,0.16716669
26,1,5,0.286448699
27,3,5,0.546345934
28,0,7,0
29,0.02,7,0.00796487
30,0.05,7,0.019677087
31,0.1,7,0.038594742
32,0.15,7,0.056796098
33,0.25,7,0.091206707
34,0.5,7,0.16716669
35,1,7,0.286448699
36,3,7,0.546345934
37,0,10,0
38,0.02,10,0.00796487
39,0.05,10,0.019677087
40,0.1,10,0.038594742
41,0.15,10,0.056796098
42,0.25,10,0.091206707
43,0.5,10,0.16716669
44,1,10,0.286448699
45,3,10,0.546345934
46,0,12,0
47,0.02,12,0.00796487
48,0.05,12,0.019677087
49,0.1,12,0.038594742
50,0.15,12,0.056796098
51,0.25,12,0.091206707
52,0.5,12,0.16716669
53,1,12,0.286448699
54,3,12,0.546345934
55,0,15,0
56,0.02,15,0.00796487
57,0.05,15,0.019677087
58,0.1,15,0.038594742
59,0.15,15,0.056796098
60,0.25,15,0.091206707
61,0.5,15,0.16716669
62,1,15,0.286448699
63,3,15,0.546345934
64,0,20,0
65,0.02,20,0.00796487
66,0.05,20,0.019677087
67,0.1,20,0.038594742
68,0.15,20,0.056796098
69,0.25,20,0.091206707
70,0.5,20,0.16716669
71,1,20,0.286448699
72,3,20,0.546345934
73,0,30,0
74,0.02,30,0.00796487
75,0.05,30,0.019677087
76,0.1,30,0.038594742
77,0.15,30,0.056796098
78,0.25,30,0.091206707
79,0.5,30,0.16716669
80,1,30,0.286448699
81,3,30,0.546345934
82,0,40,0
83,0.02,40,0.00796487
84,0.05,40,0.019677087
85,0.1,40,0.038594742
86,0.15,40,0.056796098
87,0.25,40,0.091206707
88,0.5,40,0.16716669
89,1,40,0.286448699
90,3,40,0.546345934
91,0,60,0
92,0.02,60,0.00796487
93,0.05,60,0.019677087
94,0.1,60,0.038594742
95,0.15,60,0.056796098
96,0.25,60,0.091206707
97,0.5,60,0.16716669
98,1,60,0.286448699
99,3,60,0.546345934
